player,comp,round,date,venue,opp,pos,min,type,assisted,time_class,assist,solo,year,month,day,dayofweek,dayofyear,weekofyear,quarter,goal
messi,LaLiga,34,2012-04-14,A,Levante  ,CF,64,Left-footed shot,Alexis Sánchez,secound_half,Alexis Sánchez,assisted,2012,4,14,6,105,15,2,1
messi,LaLiga,34,2012-04-14,A,Levante  ,,73,Penalty,,secound_half,0,solo,2012,4,14,6,105,15,2,1
messi,LaLiga,36,2012-04-29,A,Rayo Vallecano  ,CF,16,Left-footed shot,Pedro,first_half,Pedro,assisted,2012,4,29,7,120,17,2,1
messi,LaLiga,36,2012-04-29,A,Rayo Vallecano  ,,88,Left-footed shot,Pedro,secound_half,Pedro,assisted,2012,4,29,7,120,17,2,1
messi,LaLiga,20,2012-05-02,H,Málaga CF  ,CF,34,Penalty,,first_half,0,solo,2012,5,2,3,123,18,2,1
messi,LaLiga,20,2012-05-02,H,Málaga CF  ,,60,Penalty,,secound_half,0,solo,2012,5,2,3,123,18,2,1
messi,LaLiga,20,2012-05-02,H,Málaga CF  ,,63,Left-footed shot,Andrés Iniesta,secound_half,Andrés Iniesta,assisted,2012,5,2,3,123,18,2,1
messi,LaLiga,37,2012-05-05,H,Espanyol  ,CF,11,Direct free kick,,first_half,0,solo,2012,5,5,6,126,18,2,1
messi,LaLiga,37,2012-05-05,H,Espanyol  ,,63,Penalty,,secound_half,0,solo,2012,5,5,6,126,18,2,1
messi,LaLiga,37,2012-05-05,H,Espanyol  ,,73,Left-footed shot,Adriano,secound_half,Adriano,assisted,2012,5,5,6,126,18,2,1
messi,LaLiga,37,2012-05-05,H,Espanyol  ,,78,Penalty,,secound_half,0,solo,2012,5,5,6,126,18,2,1
messi,Copa del Rey,Final,2012-05-25,H,Athletic,CF,20,Right-footed shot,Andrés Iniesta,first_half,Andrés Iniesta,assisted,2012,5,25,5,146,21,2,1
messi,LaLiga,1,2012-08-19,H,Real Sociedad  ,CF,10,Left-footed shot,Pedro,first_half,Pedro,assisted,2012,8,19,7,232,33,3,1
messi,LaLiga,1,2012-08-19,H,Real Sociedad  ,,15,Left-footed shot,Cristian Tello,first_half,Cristian Tello,assisted,2012,8,19,7,232,33,3,1
messi,Supercopa,final,2012-08-23,H,Real Madrid,CF,60,Penalty,,secound_half,0,solo,2012,8,23,4,236,34,3,1
messi,LaLiga,2,2012-08-26,A,CA Osasuna  ,CF,74,Left-footed shot,Alexis Sánchez,secound_half,Alexis Sánchez,assisted,2012,8,26,7,239,34,3,1
messi,LaLiga,2,2012-08-26,A,CA Osasuna  ,,79,Left-footed shot,Jordi Alba,secound_half,Jordi Alba,assisted,2012,8,26,7,239,34,3,1
messi,Supercopa,final,2012-08-29,A,Real Madrid,CF,45,Direct free kick,,first_half,0,solo,2012,8,29,3,242,35,3,1
messi,LaLiga,4,2012-09-15,A,Getafe  ,CF,74,Penalty,,secound_half,0,solo,2012,9,15,6,259,37,3,1
messi,LaLiga,4,2012-09-15,A,Getafe  ,,78,Left-footed shot,Pedro,secound_half,Pedro,assisted,2012,9,15,6,259,37,3,1
messi,Champions League,Group Stage,2012-09-19,H,Spartak Moscow,CF,71,Left-footed shot,Cristian Tello,secound_half,Cristian Tello,assisted,2012,9,19,3,263,38,3,1
messi,Champions League,Group Stage,2012-09-19,H,Spartak Moscow,,80,Header,Alexis Sánchez,secound_half,Alexis Sánchez,assisted,2012,9,19,3,263,38,3,1
messi,LaLiga,7,2012-10-07,H,Real Madrid  ,CF,31,Left-footed shot,,first_half,0,solo,2012,10,7,7,281,40,4,1
